时间	设备名称	加速度X(g)	加速度Y(g)	加速度Z(g)	角速度X(°/s)	角速度Y(°/s)	角速度Z(°/s)	角度X(°)	角度Y(°)	角度Z(°)	磁场X(uT)	磁场Y(uT)	磁场Z(uT)	四元数0()	四元数1()	四元数2()	四元数3()	温度(°C)	高度(m)	气压(kPa)	版本号()	电量(%)
2026-06-17T18:57:34.535	WT901BLE67(FA:2B:7B:2B:4F:8C)	-0.033	-0.220	-0.962	-9.827	-16.846	-19.531	-66.63	-33.48	2.68	null	null	null	null	null	null	null	null	null	null	10080.1.22	100
2026-06-17T18:57:34.625	WT901BLE67(FA:2B:7B:2B:4F:8C)	-0.068	-0.242	-0.997	1.160	-12.085	-30.090	-67.36	-36.23	3.07	null	null	null	null	null	null	null	null	null	null	10080.1.22	100
2026-06-17T18:57:34.745	WT901BLE67(FA:2B:7B:2B:4F:8C)	-0.080	-0.230	-0.938	2.747	-7.324	-11.108	-67.58	-37.86	3.53	null	null	null	null	null	null	null	null	null	null	10080.1.22	100
2026-06-17T18:57:34.835	WT901BLE67(FA:2B:7B:2B:4F:8C)	-0.075	-0.235	-0.956	8.545	-7.141	-6.592	-67.39	-39.02	3.96	null	null	null	null	null	null	null	null	null	null	10080.1.22	100
2026-06-17T18:57:34.955	WT901BLE67(FA:2B:7B:2B:4F:8C)	-0.047	-0.223	-0.976	-0.916	1.404	-7.690	-67.51	-38.93	4.57	null	null	null	null	null	null	null	null	null	null	10080.1.22	100
2026-06-17T18:57:35.015	WT901BLE67(FA:2B:7B:2B:4F:8C)	-0.018	-0.196	-0.953	0.854	3.113	0.671	-67.09	-39.02	4.17	null	null	null	null	null	null	null	null	null	null	10080.1.22	100
2026-06-17T18:57:35.134	WT901BLE67(FA:2B:7B:2B:4F:8C)	-0.022	-0.197	-0.972	2.380	0.977	-4.517	-66.99	-39.06	3.94	null	null	null	null	null	null	null	null	null	null	10080.1.22	100
2026-06-17T18:57:35.223	WT901BLE67(FA:2B:7B:2B:4F:8C)	-0.019	-0.226	-0.976	2.991	1.953	5.798	-66.42	-39.07	3.64	null	null	null	null	null	null	null	null	null	null	10080.1.22	100
2026-06-17T18:57:35.343	WT901BLE67(FA:2B:7B:2B:4F:8C)	0.003	-0.217	-0.965	4.211	1.221	-4.089	-65.91	-39.03	3.46	null	null	null	null	null	null	null	null	null	null	10080.1.22	100
2026-06-17T18:57:35.433	WT901BLE67(FA:2B:7B:2B:4F:8C)	0.009	-0.228	-0.952	3.113	2.136	-0.916	-65.26	-39.07	3.18	null	null	null	null	null	null	null	null	null	null	10080.1.22	100
2026-06-17T18:57:35.553	WT901BLE67(FA:2B:7B:2B:4F:8C)	0.010	-0.258	-0.951	2.991	2.258	1.709	-64.86	-38.89	2.93	null	null	null	null	null	null	null	null	null	null	10080.1.22	100
2026-06-17T18:57:35.613	WT901BLE67(FA:2B:7B:2B:4F:8C)	0.024	-0.225	-0.958	0.916	1.953	1.465	-64.58	-38.60	2.76	null	null	null	null	null	null	null	null	null	null	10080.1.22	100
2026-06-17T18:57:35.732	WT901BLE67(FA:2B:7B:2B:4F:8C)	0.031	-0.240	-0.961	2.319	1.099	-1.587	-64.29	-38.53	2.59	null	null	null	null	null	null	null	null	null	null	10080.1.22	100
2026-06-17T18:57:35.823	WT901BLE67(FA:2B:7B:2B:4F:8C)	0.027	-0.240	-0.958	2.991	0.305	-1.953	-63.87	-38.63	2.42	null	null	null	null	null	null	null	null	null	null	10080.1.22	100
2026-06-17T18:57:35.943	WT901BLE67(FA:2B:7B:2B:4F:8C)	0.028	-0.236	-0.961	1.343	0.488	-1.160	-63.62	-38.75	2.29	null	null	null	null	null	null	null	null	null	null	10080.1.22	100
2026-06-17T18:57:36.085	WT901BLE67(FA:2B:7B:2B:4F:8C)	0.027	-0.234	-0.960	0.977	0.793	0.000	-63.44	-38.68	2.22	null	null	null	null	null	null	null	null	null	null	10080.1.22	100
2026-06-17T18:57:36.153	WT901BLE67(FA:2B:7B:2B:4F:8C)	0.026	-0.209	-0.951	2.258	0.977	1.160	-63.23	-38.57	2.15	null	null	null	null	null	null	null	null	null	null	10080.1.22	100
2026-06-17T18:57:36.243	WT901BLE67(FA:2B:7B:2B:4F:8C)	0.022	-0.262	-0.961	1.587	0.183	0.061	-63.22	-38.51	2.16	null	null	null	null	null	null	null	null	null	null	10080.1.22	100
2026-06-17T18:57:36.364	WT901BLE67(FA:2B:7B:2B:4F:8C)	0.022	-0.244	-0.959	-0.122	-0.244	0.977	-63.39	-38.41	2.31	null	null	null	null	null	null	null	null	null	null	10080.1.22	100
2026-06-17T18:57:36.423	WT901BLE67(FA:2B:7B:2B:4F:8C)	0.024	-0.239	-0.958	0.366	-0.427	-0.610	-63.57	-38.41	2.47	null	null	null	null	null	null	null	null	null	null	10080.1.22	100
2026-06-17T18:57:36.543	WT901BLE67(FA:2B:7B:2B:4F:8C)	0.018	-0.240	-0.961	-0.183	-0.549	-0.305	-63.62	-38.37	2.57	null	null	null	null	null	null	null	null	null	null	10080.1.22	100
2026-06-17T18:57:36.634	WT901BLE67(FA:2B:7B:2B:4F:8C)	0.020	-0.241	-0.959	0.366	-0.061	0.122	-63.60	-38.39	2.61	null	null	null	null	null	null	null	null	null	null	10080.1.22	100
2026-06-17T18:57:36.758	WT901BLE67(FA:2B:7B:2B:4F:8C)	0.016	-0.243	-0.960	0.427	0.366	0.671	-63.58	-38.33	2.61	null	null	null	null	null	null	null	null	null	null	10080.1.22	100
2026-06-17T18:57:36.843	WT901BLE67(FA:2B:7B:2B:4F:8C)	0.021	-0.217	-0.955	3.540	0.000	2.991	-63.47	-38.25	2.60	null	null	null	null	null	null	null	null	null	null	10080.1.22	100
2026-06-17T18:57:36.963	WT901BLE67(FA:2B:7B:2B:4F:8C)	0.015	-0.238	-0.958	0.854	1.099	0.000	-63.45	-38.14	2.54	null	null	null	null	null	null	null	null	null	null	10080.1.22	100
2026-06-17T18:57:37.023	WT901BLE67(FA:2B:7B:2B:4F:8C)	0.020	-0.246	-0.965	0.610	1.282	-1.038	-63.42	-38.06	2.52	null	null	null	null	null	null	null	null	null	null	10080.1.22	100
2026-06-17T18:57:37.142	WT901BLE67(FA:2B:7B:2B:4F:8C)	0.017	-0.248	-0.957	0.366	1.038	1.465	-63.27	-37.92	2.45	null	null	null	null	null	null	null	null	null	null	10080.1.22	100
2026-06-17T18:57:37.233	WT901BLE67(FA:2B:7B:2B:4F:8C)	0.024	-0.253	-0.960	0.122	0.244	0.549	-63.18	-37.87	2.41	null	null	null	null	null	null	null	null	null	null	10080.1.22	100
2026-06-17T18:57:37.352	WT901BLE67(FA:2B:7B:2B:4F:8C)	0.026	-0.245	-0.954	-1.465	0.732	-0.061	-63.11	-37.85	2.35	null	null	null	null	null	null	null	null	null	null	10080.1.22	100
2026-06-17T18:57:37.445	WT901BLE67(FA:2B:7B:2B:4F:8C)	0.029	-0.225	-0.953	1.770	0.610	-0.305	-63.11	-37.78	2.28	null	null	null	null	null	null	null	null	null	null	10080.1.22	100
2026-06-17T18:57:37.564	WT901BLE67(FA:2B:7B:2B:4F:8C)	0.022	-0.269	-0.955	1.648	0.610	0.549	-63.10	-37.66	2.28	null	null	null	null	null	null	null	null	null	null	10080.1.22	100
2026-06-17T18:57:37.653	WT901BLE67(FA:2B:7B:2B:4F:8C)	0.026	-0.255	-0.964	1.160	0.305	-0.366	-63.11	-37.57	2.29	null	null	null	null	null	null	null	null	null	null	10080.1.22	100
2026-06-17T18:57:37.772	WT901BLE67(FA:2B:7B:2B:4F:8C)	0.035	-0.234	-0.953	3.418	0.000	3.357	-63.00	-37.51	2.36	null	null	null	null	null	null	null	null	null	null	10080.1.22	100
2026-06-17T18:57:37.832	WT901BLE67(FA:2B:7B:2B:4F:8C)	0.028	-0.240	-0.958	0.183	-3.540	-4.028	-63.23	-37.45	2.70	null	null	null	null	null	null	null	null	null	null	10080.1.22	100
2026-06-17T18:57:37.952	WT901BLE67(FA:2B:7B:2B:4F:8C)	0.023	-0.267	-0.951	2.319	-5.615	-18.616	-63.08	-38.88	2.66	null	null	null	null	null	null	null	null	null	null	10080.1.22	100
2026-06-17T18:57:38.042	WT901BLE67(FA:2B:7B:2B:4F:8C)	0.039	-0.270	-0.966	1.038	-4.395	-9.521	-63.24	-40.50	2.55	null	null	null	null	null	null	null	null	null	null	10080.1.22	100
2026-06-17T18:57:38.162	WT901BLE67(FA:2B:7B:2B:4F:8C)	-0.003	-0.285	-0.942	9.949	-2.502	2.136	-62.97	-41.09	2.75	null	null	null	null	null	null	null	null	null	null	10080.1.22	100
2026-06-17T18:57:38.253	WT901BLE67(FA:2B:7B:2B:4F:8C)	-0.010	-0.279	-0.971	6.653	-9.644	-12.878	-63.02	-42.00	3.41	null	null	null	null	null	null	null	null	null	null	10080.1.22	100
2026-06-17T18:57:38.375	WT901BLE67(FA:2B:7B:2B:4F:8C)	0.009	-0.288	-0.941	7.263	-7.080	-2.380	-62.88	-42.87	4.40	null	null	null	null	null	null	null	null	null	null	10080.1.22	100
2026-06-17T18:57:38.463	WT901BLE67(FA:2B:7B:2B:4F:8C)	-0.008	-0.293	-0.942	4.333	-2.930	5.493	-63.24	-43.13	5.51	null	null	null	null	null	null	null	null	null	null	10080.1.22	100
2026-06-17T18:57:38.553	WT901BLE67(FA:2B:7B:2B:4F:8C)	-0.029	-0.303	-0.945	3.906	0.549	7.507	-63.59	-42.64	6.24	null	null	null	null	null	null	null	null	null	null	10080.1.22	100
2026-06-17T18:57:38.644	WT901BLE67(FA:2B:7B:2B:4F:8C)	-0.030	-0.301	-0.939	-0.427	0.122	8.301	-64.06	-41.96	7.03	null	null	null	null	null	null	null	null	null	null	10080.1.22	100
2026-06-17T18:57:38.764	WT901BLE67(FA:2B:7B:2B:4F:8C)	-0.035	-0.311	-0.940	-0.732	0.366	3.967	-64.32	-41.54	7.34	null	null	null	null	null	null	null	null	null	null	10080.1.22	100
2026-06-17T18:57:38.855	WT901BLE67(FA:2B:7B:2B:4F:8C)	-0.032	-0.293	-0.935	3.418	-0.061	6.836	-64.37	-41.30	7.45	null	null	null	null	null	null	null	null	null	null	10080.1.22	100
2026-06-17T18:57:38.975	WT901BLE67(FA:2B:7B:2B:4F:8C)	-0.033	-0.298	-0.930	1.587	0.305	-0.610	-64.44	-41.15	7.48	null	null	null	null	null	null	null	null	null	null	10080.1.22	100
2026-06-17T18:57:39.065	WT901BLE67(FA:2B:7B:2B:4F:8C)	-0.038	-0.316	-0.940	-0.610	0.427	1.770	-64.51	-41.02	7.53	null	null	null	null	null	null	null	null	null	null	10080.1.22	100
2026-06-17T18:57:39.186	WT901BLE67(FA:2B:7B:2B:4F:8C)	-0.039	-0.304	-0.937	1.099	0.305	0.916	-64.48	-40.83	7.56	null	null	null	null	null	null	null	null	null	null	10080.1.22	100
2026-06-17T18:57:39.245	WT901BLE67(FA:2B:7B:2B:4F:8C)	-0.031	-0.304	-0.935	-0.122	0.244	0.366	-64.43	-40.72	7.56	null	null	null	null	null	null	null	null	null	null	10080.1.22	100
2026-06-17T18:57:39.365	WT901BLE67(FA:2B:7B:2B:4F:8C)	-0.031	-0.305	-0.942	1.038	0.732	1.343	-64.45	-40.61	7.53	null	null	null	null	null	null	null	null	null	null	10080.1.22	100
2026-06-17T18:57:39.460	WT901BLE67(FA:2B:7B:2B:4F:8C)	-0.036	-0.317	-0.943	-1.831	0.854	-1.038	-64.41	-40.58	7.43	null	null	null	null	null	null	null	null	null	null	10080.1.22	100
2026-06-17T18:57:39.575	WT901BLE67(FA:2B:7B:2B:4F:8C)	-0.035	-0.280	-0.937	0.061	0.732	3.357	-64.43	-40.49	7.34	null	null	null	null	null	null	null	null	null	null	10080.1.22	100
2026-06-17T18:57:39.664	WT901BLE67(FA:2B:7B:2B:4F:8C)	-0.030	-0.301	-0.942	-2.380	1.587	-0.549	-64.68	-40.43	7.24	null	null	null	null	null	null	null	null	null	null	10080.1.22	100
2026-06-17T18:57:39.789	WT901BLE67(FA:2B:7B:2B:4F:8C)	-0.030	-0.297	-0.946	-2.075	2.075	-0.366	-64.89	-40.32	7.11	null	null	null	null	null	null	null	null	null	null	10080.1.22	100
2026-06-17T18:57:39.845	WT901BLE67(FA:2B:7B:2B:4F:8C)	-0.018	-0.292	-0.944	-1.648	2.075	0.305	-65.05	-40.25	6.99	null	null	null	null	null	null	null	null	null	null	10080.1.22	100
2026-06-17T18:57:39.965	WT901BLE67(FA:2B:7B:2B:4F:8C)	-0.003	-0.292	-0.951	-0.671	2.563	0.305	-65.23	-40.14	6.87	null	null	null	null	null	null	null	null	null	null	10080.1.22	100
2026-06-17T18:57:40.053	WT901BLE67(FA:2B:7B:2B:4F:8C)	0.009	-0.289	-0.946	0.549	2.502	2.197	-65.42	-39.95	6.80	null	null	null	null	null	null	null	null	null	null	10080.1.22	100
2026-06-17T18:57:40.175	WT901BLE67(FA:2B:7B:2B:4F:8C)	0.011	-0.290	-0.955	-0.488	2.014	0.916	-65.64	-39.79	6.79	null	null	null	null	null	null	null	null	null	null	10080.1.22	100
2026-06-17T18:57:40.265	WT901BLE67(FA:2B:7B:2B:4F:8C)	0.013	-0.259	-0.951	-3.418	1.282	0.977	-65.86	-39.64	6.92	null	null	null	null	null	null	null	null	null	null	10080.1.22	100
2026-06-17T18:57:40.384	WT901BLE67(FA:2B:7B:2B:4F:8C)	0.009	-0.282	-0.948	-0.183	0.854	-2.625	-66.14	-39.77	6.97	null	null	null	null	null	null	null	null	null	null	10080.1.22	100
2026-06-17T18:57:40.475	WT901BLE67(FA:2B:7B:2B:4F:8C)	0.000	-0.270	-0.944	0.610	0.000	0.244	-66.45	-39.85	7.15	null	null	null	null	null	null	null	null	null	null	10080.1.22	100
2026-06-17T18:57:40.596	WT901BLE67(FA:2B:7B:2B:4F:8C)	-0.001	-0.282	-0.947	1.099	-0.061	1.099	-66.69	-39.89	7.30	null	null	null	null	null	null	null	null	null	null	10080.1.22	100
2026-06-17T18:57:40.655	WT901BLE67(FA:2B:7B:2B:4F:8C)	-0.018	-0.297	-0.947	0.610	-0.916	-0.854	-66.62	-39.92	7.33	null	null	null	null	null	null	null	null	null	null	10080.1.22	100
2026-06-17T18:57:40.775	WT901BLE67(FA:2B:7B:2B:4F:8C)	-0.038	-0.291	-0.931	0.793	-1.465	0.488	-66.62	-39.96	7.47	null	null	null	null	null	null	null	null	null	null	10080.1.22	100
2026-06-17T18:57:40.866	WT901BLE67(FA:2B:7B:2B:4F:8C)	-0.046	-0.316	-0.939	-10.742	-0.977	-0.427	-67.03	-39.91	7.70	null	null	null	null	null	null	null	null	null	null	10080.1.22	100
