
╔══════════════════════════════════════════════════════════════════╗
║             IMU 运动姿态分析报告                                 ║
║  设备: WT901BLE67  |  传感器位置: 腕部                          ║
╚══════════════════════════════════════════════════════════════════╝

数据文件: D:\WorkPath\fitness_new\recognize\visualize\IMU\617\20260617185734.txt
生成时间: 2026-06-22 15:50:31

【姿态说明】
  原地不动  — 几乎不动，竖立，加速度稳定 (gyro<6°/s)
  静止(非竖立) — 静止但传感器非竖立方向（如坐姿放桌上）
  轻微移动  — 小幅活动（坐着调整姿势等）
  行走      — 步频0.7~2.5 Hz，加速度有节律周期变化
  跑步      — 步频>2.5 Hz，高频冲击
  弯腰      — AngleY显著变化，加速度中等
  下蹲/坐下 — AngleX显著变化，角速度中等
  躺卧      — Z轴重力分量<0.4g（腕部趋于水平）
  运动中    — 中等强度，不规律运动
  剧烈运动  — 高角速度(>100°/s)或高加速度方差(>0.35g)

【统计汇总】
  总录制时长: 346.9 s  (5.8 min)
  识别片段数: 60

  姿态              总时长(s)      占比    片段数
  ──────────────────────────────────────────
  剧烈运动             130.3   37.6%     22
  行走                99.9   28.8%     14
  下蹲/坐下             41.3   11.9%     14
  原地不动              19.5    5.6%      3
  躺卧                19.5    5.6%      1
  轻微移动              18.0    5.2%      5
  运动中                9.0    2.6%      1

【时间轴姿态片段】
     开始(s)    时长(s)  姿态            时间戳
  ────────────────────────────────────────────────────────────
       0.8      4.5  原地不动          2026-06-17 18:57:35
       6.8     12.0  剧烈运动          2026-06-17 18:57:41
      18.8     21.0  行走            2026-06-17 18:57:53
      39.8     10.5  剧烈运动          2026-06-17 18:58:14
      51.0      2.2  剧烈运动          2026-06-17 18:58:25
      53.2      1.5  行走            2026-06-17 18:58:27
      54.8      9.0  剧烈运动          2026-06-17 18:58:29
      63.8      4.5  行走            2026-06-17 18:58:38
      68.2      1.5  剧烈运动          2026-06-17 18:58:42
      69.8      9.8  行走            2026-06-17 18:58:44
      79.5      7.5  剧烈运动          2026-06-17 18:58:54
      87.0      3.0  行走            2026-06-17 18:59:01
      90.0      3.0  剧烈运动          2026-06-17 18:59:04
      93.0      3.8  下蹲/坐下         2026-06-17 18:59:07
      96.8      4.5  剧烈运动          2026-06-17 18:59:11
     101.2      3.8  下蹲/坐下         2026-06-17 18:59:15
     105.0      7.5  剧烈运动          2026-06-17 18:59:19
     112.5      6.0  轻微移动          2026-06-17 18:59:27
     118.5      1.5  下蹲/坐下         2026-06-17 18:59:33
     120.0      1.5  轻微移动          2026-06-17 18:59:34
     121.5      1.5  下蹲/坐下         2026-06-17 18:59:36
     123.0      3.0  原地不动          2026-06-17 18:59:37
     126.0      5.2  剧烈运动          2026-06-17 18:59:40
     131.2      6.8  下蹲/坐下         2026-06-17 18:59:45
     138.0      5.2  剧烈运动          2026-06-17 18:59:52
     143.2     12.0  原地不动          2026-06-17 18:59:57
     155.2      1.5  轻微移动          2026-06-17 19:00:09
     158.2      7.5  轻微移动          2026-06-17 19:00:12
     166.5      1.5  剧烈运动          2026-06-17 19:00:21
     168.0      1.5  轻微移动          2026-06-17 19:00:22
     169.5      1.5  下蹲/坐下         2026-06-17 19:00:24
     171.0      4.5  剧烈运动          2026-06-17 19:00:25
     175.5     11.2  行走            2026-06-17 19:00:30
     186.8      3.8  剧烈运动          2026-06-17 19:00:41
     190.5      6.8  行走            2026-06-17 19:00:45
     197.2      3.0  剧烈运动          2026-06-17 19:00:51
     200.2      4.5  行走            2026-06-17 19:00:54
     204.8     18.0  剧烈运动          2026-06-17 19:00:59
     223.5      2.2  剧烈运动          2026-06-17 19:01:18
     225.8      1.5  下蹲/坐下         2026-06-17 19:01:20
     227.2      6.0  剧烈运动          2026-06-17 19:01:21
     233.2      9.0  运动中           2026-06-17 19:01:27
     243.0     19.5  躺卧            2026-06-17 19:01:37
     262.5     12.0  剧烈运动          2026-06-17 19:01:57
     274.5      8.2  行走            2026-06-17 19:02:09
     282.8      2.2  下蹲/坐下         2026-06-17 19:02:17
     285.0      1.5  剧烈运动          2026-06-17 19:02:19
     286.5      3.8  行走            2026-06-17 19:02:21
     290.2      8.2  剧烈运动          2026-06-17 19:02:24
     298.5      3.0  下蹲/坐下         2026-06-17 19:02:33
     301.5      1.5  行走            2026-06-17 19:02:36
     303.0      1.5  下蹲/坐下         2026-06-17 19:02:37
     304.5      7.5  行走            2026-06-17 19:02:39
     312.0      4.5  下蹲/坐下         2026-06-17 19:02:46
     316.5      6.8  行走            2026-06-17 19:02:51
     323.2      2.2  下蹲/坐下         2026-06-17 19:02:57
     325.5      1.5  剧烈运动          2026-06-17 19:03:00
     327.0      6.0  下蹲/坐下         2026-06-17 19:03:01
     333.8      1.5  下蹲/坐下         2026-06-17 19:03:08
     335.2      9.8  行走            2026-06-17 19:03:09

